age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,Asian,0,55,0.0029501397448191023
0,15,Female,Asian,0,56,0.012020680855468919
0,15,Female,Asian,1,1,5.1052715124227615e-05
0,15,Female,Asian,1,2,1.8831154359513232e-05
0,15,Female,Asian,1,4,5.087348927928905e-05
0,15,Female,Asian,1,5,3.468630402617505e-05
0,15,Female,Asian,1,6,3.355389542839132e-05
0,15,Female,Asian,1,8,3.0238842398567312e-05
0,15,Female,Asian,1,9,2.175397037303552e-05
0,15,Female,Asian,1,10,1.737476749190983e-05
0,15,Female,Asian,1,11,0.00026926551343423553
0,15,Female,Asian,1,12,6.627603361710716e-05
0,15,Female,Asian,1,13,4.215544183971078e-05
0,15,Female,Asian,1,15,1.0080949219011852e-05
0,15,Female,Asian,1,16,0.00014531542167206242
0,15,Female,Asian,1,17,2.3971566453305636e-05
0,15,Female,Asian,1,18,3.2957309730282305e-05
0,15,Female,Asian,1,19,3.552597537400444e-05
0,15,Female,Asian,1,20,3.465916360001577e-05
0,15,Female,Asian,1,21,4.3147920173197335e-05
0,15,Female,Asian,1,22,3.956913612445781e-05
0,15,Female,Asian,1,23,0.00010431605358302694
0,15,Female,Asian,1,24,2.54478933456657e-05
0,15,Female,Asian,1,25,4.179530162203441e-05
0,15,Female,Asian,1,26,2.789875504809192e-05
0,15,Female,Asian,1,27,1.1682521859365486e-05
0,15,Female,Asian,1,28,4.173673189069365e-05
0,15,Female,Asian,1,29,4.064097913337528e-05
0,15,Female,Asian,1,30,0.00028498653810329964
0,15,Female,Asian,1,31,4.5574198187561056e-05
0,15,Female,Asian,1,32,1.412531653912578e-05
0,15,Female,Asian,1,33,2.7912908324959803e-05
0,15,Female,Asian,1,34,1.99606964488787e-05
0,15,Female,Asian,1,35,7.705434979681503e-05
0,15,Female,Asian,1,36,2.5524494703028465e-05
0,15,Female,Asian,1,37,4.594986742204671e-05
0,15,Female,Asian,1,38,7.753871018867653e-05
0,15,Female,Asian,1,39,0.0002563055907399321
0,15,Female,Asian,1,40,3.414754264257547e-05
0,15,Female,Asian,1,41,0.00011953218347299069
0,15,Female,Asian,1,42,4.558778400910346e-05
0,15,Female,Asian,1,44,4.759145537471262e-05
0,15,Female,Asian,1,45,4.945533004629097e-05
0,15,Female,Asian,1,46,6.374950420789342e-05
0,15,Female,Asian,1,47,3.58742409152156e-05
0,15,Female,Asian,1,48,4.1356099212302085e-05
0,15,Female,Asian,1,49,0.0001644023882458098
0,15,Female,Asian,1,50,0.00030207517683588606
0,15,Female,Asian,1,51,5.544588754445995e-05
0,15,Female,Asian,1,53,2.613332838825634e-05
0,15,Female,Asian,1,54,7.985183977833874e-05
0,15,Female,Asian,1,55,2.8248827458312804e-05
0,15,Female,Asian,1,56,0.0002162158566124534
0,15,Female,Black,0,1,0.002212398176930499
0,15,Female,Black,0,2,0.0007022251411930593
0,15,Female,Black,0,4,0.003605197877103364
0,15,Female,Black,0,5,0.0042137142612975655
0,15,Female,Black,0,6,0.0032652397233696702
0,15,Female,Black,0,8,0.0032728289844033034
0,15,Female,Black,0,9,0.0009988870076813566
0,15,Female,Black,0,10,0.0005604778552611327
0,15,Female,Black,0,11,0.0012618753081052136
0,15,Female,Black,0,12,0.0012345783423675452
0,15,Female,Black,0,13,0.0018318493979934333
0,15,Female,Black,0,15,0.011528067737301483
0,15,Female,Black,0,16,0.002186689160289469
0,15,Female,Black,0,17,0.0031257363680262723
0,15,Female,Black,0,18,0.0032973535892989463
0,15,Female,Black,0,19,0.00047658339461566956
0,15,Female,Black,0,20,0.005337123224348131
0,15,Female,Black,0,21,0.0020438219387193053
0,15,Female,Black,0,22,0.0030611489772953476
0,15,Female,Black,0,23,0.0016961670454563812
0,15,Female,Black,0,24,0.0007893056412632395
0,15,Female,Black,0,25,0.000993051510297645
0,15,Female,Black,0,26,0.0013444952024907724
0,15,Female,Black,0,27,0.0006124535973330949
0,15,Female,Black,0,28,0.003995414658602124
0,15,Female,Black,0,29,0.0012501611179840891
0,15,Female,Black,0,30,0.013068465437211529
0,15,Female,Black,0,31,0.0007736205803848011
0,15,Female,Black,0,32,0.000940947611287296
0,15,Female,Black,0,33,0.0007249058328266897
0,15,Female,Black,0,34,0.0013938723431564438
0,15,Female,Black,0,35,0.0010465052126844136
0,15,Female,Black,0,36,0.000663742168357855
0,15,Female,Black,0,37,0.002360331710869256
0,15,Female,Black,0,38,0.0005690070201452321
0,15,Female,Black,0,39,0.00498391151787541
0,15,Female,Black,0,40,0.0044017233244948405
0,15,Female,Black,0,41,0.002587565744583611
0,15,Female,Black,0,42,0.0019136394075161894
0,15,Female,Black,0,44,0.0005693342326821469
0,15,Female,Black,0,45,0.004134564127157494
0,15,Female,Black,0,46,0.00024265055188456421
0,15,Female,Black,0,47,0.002394295097600892
0,15,Female,Black,0,48,0.0016012727843662952
0,15,Female,Black,0,49,0.0009312708672540098
0,15,Female,Black,0,50,0.0034351539801637083
0,15,Female,Black,0,51,0.001776079608655608
0,15,Female,Black,0,53,0.0010157031549699498
0,15,Female,Black,0,54,0.001858543238060893
0,15,Female,Black,0,55,0.0012459136728005242
0,15,Female,Black,0,56,0.02867898427511849
0,15,Female,Black,1,1,1.2155974087391116e-05
0,15,Female,Black,1,2,6.458342669589163e-05
0,15,Female,Black,1,4,8.793574893880472e-05
0,15,Female,Black,1,5,6.303461527608006e-06
0,15,Female,Black,1,6,8.533112975458002e-05
0,15,Female,Black,1,8,7.128535853844198e-05
0,15,Female,Black,1,9,2.323625212171387e-05
0,15,Female,Black,1,10,7.201721201960765e-06
0,15,Female,Black,1,11,2.015226288110722e-05
0,15,Female,Black,1,12,4.259970155824137e-05
0,15,Female,Black,1,13,3.9633599308182004e-05
0,15,Female,Black,1,15,0.0008438437559734507
0,15,Female,Black,1,16,0.0006452543053298006
0,15,Female,Black,1,17,4.697743262332151e-05
0,15,Female,Black,1,18,2.2168839524410214e-05
0,15,Female,Black,1,19,3.589255344248217e-05
0,15,Female,Black,1,20,7.393740339647094e-05
0,15,Female,Black,1,21,1.4707566901744477e-05
0,15,Female,Black,1,22,4.091225440562864e-06
0,15,Female,Black,1,23,7.757874049853129e-05
0,15,Female,Black,1,24,2.7468370993913062e-05
0,15,Female,Black,1,25,5.109117527388477e-05
0,15,Female,Black,1,26,2.0157130015830235e-05
0,15,Female,Black,1,27,1.836299765000475e-05
0,15,Female,Black,1,28,4.340278068839295e-06
0,15,Female,Black,1,29,2.866840743357396e-05
0,15,Female,Black,1,30,0.0002184700439267296
0,15,Female,Black,1,31,3.488681302596093e-05
0,15,Female,Black,1,32,3.647557479746508e-05
0,15,Female,Black,1,33,0.00014787258121944872
0,15,Female,Black,1,34,2.2371962899176947e-05
0,15,Female,Black,1,35,0.00015115229696893191
0,15,Female,Black,1,36,2.8188041945585302e-05
0,15,Female,Black,1,37,3.5949936264267745e-05
0,15,Female,Black,1,38,0.000791589220433653
0,15,Female,Black,1,39,2.268956606167146e-05
0,15,Female,Black,1,40,0.0001610470185395232
0,15,Female,Black,1,41,0.00013114179905661537
0,15,Female,Black,1,42,2.1099741798906273e-05
0,15,Female,Black,1,44,4.4311022580929595e-05
0,15,Female,Black,1,45,1.221377313414505e-05
0,15,Female,Black,1,46,4.52371145391374e-05
0,15,Female,Black,1,47,2.697355876376403e-05
0,15,Female,Black,1,48,3.471852127437231e-05
0,15,Female,Black,1,49,0.00016127095715772556
0,15,Female,Black,1,50,0.0006263179166444511
0,15,Female,Black,1,51,4.769022865984032e-05
0,15,Female,Black,1,53,0.00011156097406831438
0,15,Female,Black,1,54,3.954916774748556e-05
0,15,Female,Black,1,55,2.0272222370567244e-05
0,15,Female,Black,1,56,0.0016305283056818832
0,15,Female,Latino,0,1,0.0020950565865861578
0,15,Female,Latino,0,2,0.002596718313499179
0,15,Female,Latino,0,4,0.004749327352010729
0,15,Female,Latino,0,5,0.0011980917179118843
0,15,Female,Latino,0,6,0.0011696606028491026
0,15,Female,Latino,0,8,0.0010204208040961458
0,15,Female,Latino,0,9,0.0021021813646500583
0,15,Female,Latino,0,10,0.0027471366651432515
0,15,Female,Latino,0,11,0.002058366159971241
0,15,Female,Latino,0,12,0.001495996449203484
0,15,Female,Latino,0,13,0.0025077429600430167
0,15,Female,Latino,0,15,0.012663568307685204
0,15,Female,Latino,0,16,0.0030053192402831664
0,15,Female,Latino,0,17,0.0022091522085031763
0,15,Female,Latino,0,18,0.0026675093011611205
