age_start,age_end,sex,race_ethnicity,born_in_us,state,gq_person_emigration_rate
0,15,Female,Asian,1,19,5.274036895726582e-05
0,15,Female,Asian,1,20,4.39283916871223e-05
0,15,Female,Asian,1,21,5.001097323832228e-05
0,15,Female,Asian,1,22,5.368846875012443e-05
0,15,Female,Asian,1,23,6.821434430737392e-05
0,15,Female,Asian,1,24,2.057172554424251e-05
0,15,Female,Asian,1,25,8.945677241057234e-05
0,15,Female,Asian,1,26,4.1968246445376546e-05
0,15,Female,Asian,1,27,3.612688334953088e-05
0,15,Female,Asian,1,28,8.502952983328295e-05
0,15,Female,Asian,1,29,4.138607230843574e-05
0,15,Female,Asian,1,30,0.0001454096719809199
0,15,Female,Asian,1,31,5.350136593335278e-05
0,15,Female,Asian,1,32,9.264959178584677e-06
0,15,Female,Asian,1,33,8.408550650444396e-05
0,15,Female,Asian,1,34,1.4259843633706007e-05
0,15,Female,Asian,1,35,0.00014209397120501014
0,15,Female,Asian,1,36,5.329316828557221e-05
0,15,Female,Asian,1,37,5.5107809335494984e-05
0,15,Female,Asian,1,38,8.809464323570576e-05
0,15,Female,Asian,1,39,4.672938440408498e-05
0,15,Female,Asian,1,40,5.76350828853948e-05
0,15,Female,Asian,1,41,3.489006610810677e-05
0,15,Female,Asian,1,42,4.783060149378752e-05
0,15,Female,Asian,1,44,9.740828183687617e-05
0,15,Female,Asian,1,45,3.004883789081132e-05
0,15,Female,Asian,1,46,3.864651199216902e-05
0,15,Female,Asian,1,47,4.5232674687170956e-05
0,15,Female,Asian,1,48,6.140065342017985e-05
0,15,Female,Asian,1,49,8.5825503496094e-05
0,15,Female,Asian,1,50,9.291535628126073e-05
0,15,Female,Asian,1,51,4.136836957518451e-05
0,15,Female,Asian,1,53,3.3350676389933745e-05
0,15,Female,Asian,1,54,4.1662316435810486e-05
0,15,Female,Asian,1,55,2.8294499076288563e-05
0,15,Female,Asian,1,56,7.123510648229988e-05
0,15,Female,Black,0,1,0.022805790738771516
0,15,Female,Black,0,2,0.008887316577014272
0,15,Female,Black,0,4,0.01058771521496139
0,15,Female,Black,0,5,0.0046942459838162365
0,15,Female,Black,0,6,0.005828926719241689
0,15,Female,Black,0,8,0.005538069692206967
0,15,Female,Black,0,9,0.002925255914922861
0,15,Female,Black,0,10,0.001114506489211553
0,15,Female,Black,0,11,0.01532770480240265
0,15,Female,Black,0,12,0.0051463634772487615
0,15,Female,Black,0,13,0.017941044628969192
0,15,Female,Black,0,15,0.008926527916904016
0,15,Female,Black,0,16,0.004461409280117032
0,15,Female,Black,0,17,0.004017351315505303
0,15,Female,Black,0,18,0.021027739415661127
0,15,Female,Black,0,19,0.006249997479399503
0,15,Female,Black,0,20,0.004074523586268062
0,15,Female,Black,0,21,0.003337763635721559
0,15,Female,Black,0,22,0.005280514814606109
0,15,Female,Black,0,23,0.003013652299442549
0,15,Female,Black,0,24,0.001027328387100653
0,15,Female,Black,0,25,0.005929002825462239
0,15,Female,Black,0,26,0.012065175085030279
0,15,Female,Black,0,27,0.0017235097882017576
0,15,Female,Black,0,28,0.09723932648188448
0,15,Female,Black,0,29,0.028931361456760746
0,15,Female,Black,0,30,0.012409971631181863
0,15,Female,Black,0,31,0.0027427473982120504
0,15,Female,Black,0,32,0.0014091457913028554
0,15,Female,Black,0,33,0.00622620138736968
0,15,Female,Black,0,34,0.0013989547001447083
0,15,Female,Black,0,35,0.012258151353753953
0,15,Female,Black,0,36,0.004015618848143398
0,15,Female,Black,0,37,0.0050370135627293795
0,15,Female,Black,0,38,0.0034356691393456797
0,15,Female,Black,0,39,0.01295981809706358
0,15,Female,Black,0,40,0.005572790223068874
0,15,Female,Black,0,41,0.004251237404815851
0,15,Female,Black,0,42,0.004070436037217391
0,15,Female,Black,0,44,0.005041246978403839
0,15,Female,Black,0,45,0.0031060856257798908
0,15,Female,Black,0,46,0.0022941526337417095
0,15,Female,Black,0,47,0.003430085609917036
0,15,Female,Black,0,48,0.0055826745028670416
0,15,Female,Black,0,49,0.009477599628885858
0,15,Female,Black,0,50,0.009894520748998338
0,15,Female,Black,0,51,0.03968336810483424
0,15,Female,Black,0,53,0.003778414887551765
0,15,Female,Black,0,54,0.003957635288220616
0,15,Female,Black,0,55,0.017638853207115945
0,15,Female,Black,0,56,0.0068576593684823205
0,15,Female,Black,1,1,9.861932074127594e-06
0,15,Female,Black,1,2,9.407783616324253e-05
0,15,Female,Black,1,4,6.380187797979902e-05
0,15,Female,Black,1,5,1.9047782947260572e-05
0,15,Female,Black,1,6,0.00022799454093206013
0,15,Female,Black,1,8,6.660136407053982e-05
0,15,Female,Black,1,9,3.387958119758199e-05
0,15,Female,Black,1,10,7.4116598341146056e-06
0,15,Female,Black,1,11,7.552735958409272e-05
0,15,Female,Black,1,12,0.00024874323225193204
0,15,Female,Black,1,13,6.575614858067685e-05
0,15,Female,Black,1,15,9.861822238187637e-05
0,15,Female,Black,1,16,4.483681220940625e-05
0,15,Female,Black,1,17,2.5794123515630724e-05
0,15,Female,Black,1,18,3.7510309614650065e-05
0,15,Female,Black,1,19,4.9343799627427036e-05
0,15,Female,Black,1,20,3.9557066160528676e-05
0,15,Female,Black,1,21,3.05682970661149e-05
0,15,Female,Black,1,22,1.4220287657703658e-05
0,15,Female,Black,1,23,5.851088743620041e-05
0,15,Female,Black,1,24,1.1609205298522553e-05
0,15,Female,Black,1,25,0.00010631783066197455
0,15,Female,Black,1,26,2.25226536849985e-05
0,15,Female,Black,1,27,4.0171080478985996e-05
0,15,Female,Black,1,28,1.9269443437711414e-05
0,15,Female,Black,1,29,2.185916906365501e-05
0,15,Female,Black,1,30,0.00012198919069737575
0,15,Female,Black,1,31,3.7847934335278904e-05
0,15,Female,Black,1,32,1.1144015477926431e-05
0,15,Female,Black,1,33,8.307867062974163e-05
0,15,Female,Black,1,34,1.666652397025356e-05
0,15,Female,Black,1,35,0.00012970042544798016
0,15,Female,Black,1,36,5.317631561389667e-05
0,15,Female,Black,1,37,2.5284581482528436e-05
0,15,Female,Black,1,38,8.863911926430339e-05
0,15,Female,Black,1,39,2.50673928108551e-05
0,15,Female,Black,1,40,3.5025806259885086e-05
0,15,Female,Black,1,41,4.556014726078852e-05
0,15,Female,Black,1,42,3.183683942921416e-05
0,15,Female,Black,1,44,7.055380085756611e-05
0,15,Female,Black,1,45,1.0657895291932253e-05
0,15,Female,Black,1,46,3.163769774517846e-05
0,15,Female,Black,1,47,1.9412016494727997e-05
0,15,Female,Black,1,48,4.853727912765208e-05
0,15,Female,Black,1,49,0.00010140784319419403
0,15,Female,Black,1,50,9.69939704727448e-05
0,15,Female,Black,1,51,3.0007602185347803e-05
0,15,Female,Black,1,53,5.0684596094336426e-05
0,15,Female,Black,1,54,3.332162858054281e-05
0,15,Female,Black,1,55,2.7833255039964976e-05
0,15,Female,Black,1,56,6.388604932278031e-05
