age_start,age_end,sex,race_ethnicity,gq_person_migration_rate,new_household_migration_rate,non_reference_person_migration_rate
60,70,Male,Asian,0.001929,0.010557,0.010736
60,70,Male,Black,0.016257,0.027796,0.011511
60,70,Male,Latino,0.004646,0.016922,0.010379
60,70,Male,Multiracial or Other,0.008743,0.023296,0.011367
60,70,Male,NHOPI,0.006183,0.018877,0.010726
60,70,Male,White,0.003888,0.016599,0.007326
70,80,Female,AIAN,0.006847,0.016290,0.007786
70,80,Female,Asian,0.001990,0.009555,0.012935
70,80,Female,Black,0.007794,0.024876,0.007745
70,80,Female,Latino,0.003957,0.018641,0.011876
70,80,Female,Multiracial or Other,0.005535,0.032663,0.009428
70,80,Female,NHOPI,0.006678,0.004659,0.011647
70,80,Female,White,0.005366,0.021154,0.007509
70,80,Male,AIAN,0.005618,0.022133,0.005717
70,80,Male,Asian,0.002321,0.008099,0.009994
70,80,Male,Black,0.011229,0.018786,0.007887
70,80,Male,Latino,0.005884,0.013481,0.008374
70,80,Male,Multiracial or Other,0.004572,0.019846,0.007234
70,80,Male,NHOPI,0.005478,0.010557,0.001693
70,80,Male,White,0.004896,0.013943,0.005050
80,100,Female,AIAN,0.017751,0.014304,0.012836
80,100,Female,Asian,0.009226,0.012272,0.018765
80,100,Female,Black,0.018157,0.019676,0.012313
80,100,Female,Latino,0.010232,0.016586,0.015415
80,100,Female,Multiracial or Other,0.008364,0.034615,0.015190
80,100,Female,NHOPI,0.015128,0.006082,0.020898
80,100,Female,White,0.020082,0.032790,0.011476
80,100,Male,AIAN,0.022176,0.022119,0.008467
80,100,Male,Asian,0.007225,0.012188,0.012989
80,100,Male,Black,0.019369,0.016119,0.008201
80,100,Male,Latino,0.008555,0.014895,0.012047
80,100,Male,Multiracial or Other,0.009203,0.020180,0.011335
80,100,Male,NHOPI,0.007874,0.000000,0.000000
80,100,Male,White,0.014874,0.020685,0.007289
